Ralidea,44,4,15442,82655,6791617452,99.41,135301,1.27E+11,19923293,2337
Bartek22830,46,3,15383,152710,63244607073,98.46,186680,3.86E+11,38080377,8049
azr8,47,1,15382,76505,26987907466,99.17,93998,1.74E+11,22160432,4911
Zeisen-,50,2,15304,111668,55135448800,98.38,123376,3.47E+11,29839649,7752
Vinno,45,2,15427,102456,52345898864,98.64,115280,4.28E+11,29078894,6411
fieryrage,49,12,15357,123616,61246905637,98.42,122165,4.76E+11,34453213,10213
xootynator,42,3,15486,74001,61524010601,99.2,69524,3.21E+11,21403478,8157
Utami,48,11,15363,77814,22545008620,98.43,104193,2.40E+11,21276389,6244
mcy4,59,3,15171,169168,44147627934,98.62,214629,3.51E+11,47943769,3884
uyghti,56,4,15189,163668,43437621296,99.08,219512,4.32E+11,45528604,3556
MouseEasy,51,1,15247,131206,48794343790,98.41,168753,3.00E+11,36971294,4593
dejiz,55,4,15193,93486,27812736460,98.74,125346,2.17E+11,25020587,4247
Andrej,54,1,15195,116153,34742570537,98.93,171550,3.06E+11,30749804,4295
1rushia,53,1,15198,120002,46792903442,99.09,150472,3.79E+11,33214052,6699
firebat92,59,3,15168,112039,49755545157,98.83,145039,4.55E+11,37322604,5086
Dustice,58,5,15184,109505,75581095358,99.09,107821,3.71E+11,29937781,8509
Milkteaism,57,1,15184,64591,21544536091,98.33,80480,1.35E+11,17681488,4592
Arnold24x24,52,1,15225,128411,48332381701,98.45,163002,3.39E+11,32866189,6091
Lam Tin Park,69,4,14956,106832,24775686677,97.75,144651,2.47E+11,27503927,3679
nick1324,61,4,15150,79583,46133842000,99.03,68836,4.14E+11,23935297,8331
MightyDoc,63,14,15104,123240,52321791308,97.87,161944,3.27E+11,31771406,4154
Apostol,66,4,15049,134323,48472912828,98.88,171067,3.41E+11,38312675,7257
a_Blue,70,3,14947,97868,20467438624,95.89,137318,1.78E+11,24517809,3106
BTMC,62,13,15106,135885,1.15E+11,98.73,118872,7.05E+11,43093407,9385
Gasha,64,3,15091,149952,65984952871,98.95,191108,4.13E+11,39200160,5710
adamkus,67,4,15016,54103,25679814864,98.3,62855,1.31E+11,14359100,7755
rudj,65,1,15083,93268,12924819468,98.65,189506,1.47E+11,23029399,4080
Frankie_,68,5,14976,101498,69734544658,99.39,94973,3.72E+11,28666697,5558
Reused,79,18,14735,79667,23171963460,98.45,89082,1.50E+11,22186967,3312
ChomikBox,77,5,14780,67254,54102257145,97.94,64242,1.98E+11,17353705,7578
weabole,74,15,14833,86045,10299591192,98.31,131708,1.73E+11,21077148,10106
Zoomer,76,1,14813,96830,24422359567,97.94,156494,2.22E+11,24668985,4311
ChomikBox2,79,6,14755,39242,28115267097,98.26,58624,97653599150,9575522,7749
thaibuy,75,16,14814,113310,96298214085,98.71,102134,4.42E+11,30615386,6732
RankAjae,72,5,14870,43332,24995640375,97.48,65980,74971650723,11214623,4053
SWAGSTERSWAG,78,17,14774,71600,16683479478,98.02,93099,1.27E+11,18375299,3465
Neox,71,6,14892,47152,16140944405,98.65,60202,1.16E+11,12989031,4190
angelkanna,72,7,14862,77747,19785869162,98.43,125004,1.70E+11,20518614,6837
Rhythm blue,84,6,14655,102751,52858224540,98.08,109024,3.82E+11,28567098,5086
-DuckLeader-,88,20,14548,100146,30653410065,99.28,143363,2.92E+11,24097136,6149
filsdelama,85,1,14634,139565,60835665753,99.31,160664,5.09E+11,39377472,8253
superCreper,89,1,14541,81172,48670809655,97.48,121291,1.34E+11,20328089,5086
MAREK MARUCHA,81,7,14720,169166,75403526592,97.24,218003,5.03E+11,44314541,10210
-Machine-,82,5,14673,126052,62480418065,98.49,139851,2.85E+11,33634446,4291
Mlaw,80,19,14727,162379,1.23E+11,99.12,135728,9.49E+11,53534079,8339
Kurumiw,86,2,14581,75039,12773366748,97.85,105155,98660812849,19521293,4027
Fjell,83,1,14665,121042,57657880145,99.24,131990,3.80E+11,32606169,8272
Enumi,87,6,14579,96684,31461543654,98.56,110396,2.79E+11,27782666,4295
Dyazzo,91,3,14529,76475,23702876532,97.69,117844,2.02E+11,20371690,4310
Shimon,92,1,14520,96246,15255369982,98.59,176891,1.32E+11,25384939,2679
Hyrein,94,4,14494,78648,15531292556,98.76,130658,95969267568,18732231,1917
Mastasz,100,8,14434,101263,60309559272,98.56,121821,2.79E+11,26593878,4320
CXu,93,2,14498,153923,56734453041,97.43,159545,3.95E+11,37684689,5937
Raikouhou,93,1,14512,64410,23268492712,98.78,81049,1.95E+11,17154553,6427
MyAngelMiku,95,1,14479,100412,31957142465,98.94,137571,2.57E+11,26388830,4856
Demonical,96,1,14469,137688,43831309725,98.23,191089,3.92E+11,35524605,4693
Viveliam,99,1,14434,241832,1.87E+11,99.4,250343,1.19E+12,64070275,9388
[Karcher],97,7,14458,111633,53259327693,99.06,133679,4.06E+11,30028493,7757
Riot,104,1,14349,112670,39359678017,98.1,151038,2.61E+11,28092552,4293
Shiraha Yuki,105,5,14326,81652,40920641972,98.36,105343,2.43E+11,20991060,6323
MINHOCA LOKA,106,3,14308,75566,13380492562,97.87,108964,1.09E+11,20153727,4135
